,cluster,auc,pre_micro,pre_macro
count,28.0,28.0,28.0,1.0
mean,13.5,0.499165943123508,0.5019505835976612,0.29923789805345197
std,8.225975119502044,0.17132114887209146,0.06864671296825309,
min,0.0,0.32263155480111944,0.3443613715691994,0.29923789805345197
25%,6.75,0.3756432904380443,0.4720965908793483,0.29923789805345197
50%,13.5,0.439141812970232,0.5252669507996629,0.29923789805345197
75%,20.25,0.5679833492643779,0.5508281947670846,0.29923789805345197
max,27.0,0.9524323181049069,0.579030930310232,0.29923789805345197
